author,statement,source,date,target,BinaryTarget,BinaryNumTarget
Tom Kertscher,Says John McAfee tweeted before his death that he stored computer files in the Florida condo building that later collapsed.,Instagram posts,"28, June 2021",false,FAKE,0
Kelsey Tamakloe,“Airlines begin to ban vaccinated people after Pilots die due to vaccine”,Facebook posts,"28, June 2021",false,FAKE,0
Andy Nguyen,"""Japan has banned all (Black Lives Matter) apparel from the Olympics. No one can kneel or raise fists during the anthems either.""",Facebook posts,"28, June 2021",half-true,FAKE,0
Kiannah Sepeda-Miller,“Prairie State power plant is the cleanest coal-fired power plant in the nation.”,Rodney Davis,"27, June 2021",pants-fire,FAKE,0
Michael Majchrowicz,A flag expressing support for police officers violates the U.S. Flag Code.,Facebook posts,"25, June 2021",false,FAKE,0
Jon Greenberg,"""The Second Amendment, from the day it was passed, limited the type of people who could own a gun and what type of weapon you could own.”",Joe Biden,"25, June 2021",false,FAKE,0
Samantha Putterman,Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,Bloggers,"25, June 2021",false,FAKE,0
Tom Kertscher,Says Ivanka Trump was targeted in the Florida condominium building collapse.,Facebook posts,"25, June 2021",false,FAKE,0
Ciara O'Rourke,"Says Gov. Ron DeSantis “just signed legislation requiring students, faculty and staff at Florida’s public universities and colleges to register their political views with the state.”",Viral image,"25, June 2021",false,FAKE,0
Tom Kertscher,mRNA technology in COVID-19 vaccines was never tested in humans.,Instagram posts,"25, June 2021",false,FAKE,0
Brandon Mulder,"The intent behind the bill recognizing Juneteenth as a federal holiday ""is to replace the Fourth of July.”",Matthew Rosendale,"25, June 2021",pants-fire,FAKE,0
Emily Tian,Says Eric Trump said he “raised nearly $30 million for children dying of cancer at St. Jude before the age of 30.”,Instagram posts,"25, June 2021",false,FAKE,0
Amy Sherman,Sen. Raphael Warnock “voted for welfare for politicians plan. Up to $25 million of government money for Warnock’s own political campaign.”,National Republican Senatorial Committee,"25, June 2021",false,FAKE,0
Isabella Fertel,"“Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",Facebook posts,"25, June 2021",pants-fire,FAKE,0
Gabrielle Settles,"“Our legal president, President Trump, has signed a cease and desist order for the COVID vaccines.”",TikTok posts,"24, June 2021",pants-fire,FAKE,0
Louis Jacobson,"Says Dr. Anthony Fauci in an email ""advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (President Donald Trump) on the usefulness of (hydroxychloroquine) to fight the virus.”",Facebook posts,"24, June 2021",false,FAKE,0
Ciara O'Rourke,Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”,Viral image,"24, June 2021",pants-fire,FAKE,0
Victoria Knight,“The WORLD HEALTH ORGANIZATION recently reversed its stance on children getting the Covid vaccine.”,Facebook posts,"24, June 2021",false,FAKE,0
Amy Sherman,Georgia didn’t update its voter rolls prior to the 2020 presidential election; “this means we (you!) won the presidential election in Georgia.”,Donald Trump,"23, June 2021",pants-fire,FAKE,0
Ciara O'Rourke,“Military arrests Adam Schiff.”,Bloggers,"23, June 2021",pants-fire,FAKE,0
Ciara O'Rourke,“Hawaii to no longer recognize out-of-state driver’s licenses.”,Viral image,"23, June 2021",false,FAKE,0
Louis Jacobson,A 9-0 Supreme Court ruling is very rare.,Trey Wingo,"23, June 2021",false,FAKE,0
Samantha Putterman,“World Health Organization wants to BAN all women aged 18-50 from drinking alcohol.”,Bloggers,"22, June 2021",false,FAKE,0
Jon Greenberg,"Says Greta Thunberg said, ""the climate crisis doesn’t exist.""",Instagram posts,"22, June 2021",pants-fire,FAKE,0
Andy Nguyen,“The unvaccinated have escaped every single strain or 'variant’” of SARS-CoV-2.,Facebook posts,"22, June 2021",false,FAKE,0
Sasha Hupka,"Gov. Gavin Newsom has “no power or authority” to extend the state of emergency in California because it expired “automatically” on May 6, 2020.",Facebook posts,"22, June 2021",false,FAKE,0
Aaron Sharockman,"Says President John F. Kennedy said, “There are people in Washington, D.C., in positions of power to whom the border is just a nuisance, and I think some of them believe that illegal immigration is a moral good. It is not.”",Facebook posts,"22, June 2021",false,FAKE,0
Michael Majchrowicz,A heat wave melted turbine blades at a Texas wind farm.,Facebook posts,"21, June 2021",false,FAKE,0
Ciara O'Rourke,Photo shows a semi-truck that crashed with a Chevy pickup that cut in front of it.,Viral image,"21, June 2021",barely-true,FAKE,0
Ciara O'Rourke,AstraZeneca means “weapon that kills.”,Viral image,"21, June 2021",false,FAKE,0
Brandon Mulder,“We see an uncompleted wall that was duly appropriated dollars during the Trump days to build over 700 miles. Only 150 miles were constructed.”,George P. Bush,"21, June 2021",false,FAKE,0
Tom Kertscher,It was “the left” that “finally” made Juneteenth a national holiday.,Diamond and Silk,"21, June 2021",half-true,FAKE,0
Madison Czopek,“Coolmath Games is being taken down cause it was run by the Mexican drug cartel?”,Facebook posts,"21, June 2021",false,FAKE,0
Miriam Valverde,“That meth … it’s almost all coming across the southern border and it’s been accelerating for the last six months.”,Ron DeSantis,"21, June 2021",half-true,FAKE,0
Madeline Heim,"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",Mandela Barnes,"19, June 2021",true,REAL,1
Laura Schulte,“We have a record 9.3 million job openings in the U.S.”,Glenn Grothman,"18, June 2021",true,REAL,1
Emily Tian,"“Police budgets are at their highest they've ever been, there hasn’t actually been any defunding the police.”",Tweets,"18, June 2021",barely-true,FAKE,0
Tom Kertscher,The 2020 election results in Pennsylvania “show a statistically impossible pattern” and votes were manufactured for Joe Biden.,Bloggers,"18, June 2021",false,FAKE,0
